pair,trades,gross_pt,fric_pt,net_pt,net_total,winrate,ratio,med_bars,stop_pct,net_pt_h1,net_pt_h2,maxdd
US100/US30,2283,4.295877532010808,3.1043092242623516,1.1915683077484567,2720.3504465897267,42.356548401226455,1.3838433035071105,10.0,46.16732369689006,0.4115980131334171,1.970855616116023,2756.3734017688257
XAUUSD/US100,1630,3.623571553888477,3.823676506267735,-0.200104952379258,-326.1710723781905,44.969325153374236,0.9476668719094704,12.0,44.969325153374236,0.2606831904739829,-0.6608930952324993,5134.89847127045
US500/US30,2428,2.5222673366559762,3.206971125549868,-0.6847037888938914,-1662.4607994343683,37.35584843492587,0.7864951812509717,10.5,47.075782537067546,-1.7823131648871333,0.41290558709935027,3880.829985446488
US100/US500,2456,-0.11923838032792497,4.187029227126737,-4.306267607454662,-10576.193243908649,32.57328990228013,-0.028478038690393826,10.5,44.869706840390876,-4.593768134278991,-4.018767080630331,10721.141192786237
EURUSD/GBPUSD,2318,-0.3408618543217664,4.147820738764929,-4.488682593086695,-10404.76625077496,32.139775668679896,-0.08217854044079609,14.0,41.71699741156169,-5.471361286433708,-3.506003899739682,10416.611987604569
XAUUSD/XAGUSD,2342,0.10697519762532609,9.816908727361161,-9.709933529735835,-22740.664326641327,35.48249359521776,0.010897034962459268,11.0,44.32109308283518,-8.222471944486454,-11.197395114985218,22734.876429628348
